object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Sculpture,"bronze, pierre, terre, bois",1,,,,,,,
Sculpture,"bronze, plinthe d'albâtre",1,,,,,,,
Sculpture,"bronze, socle Boulle",1,,,,,,,
Sculpture,"bronze, socle de bois",1,,,,,,,
Sculpture,"bronze, socle de bois et filets de cuivre",1,,,,,,,
Sculpture,"bronze, socle de bois noir doré",1,,,,,,,
Sculpture,"bronze, socle de bois noirci et cuivre",1,,,,,,,
Sculpture,"bronze, socle de Boulle",1,,,,,,,
Sculpture,"bronze, socle de Boulle doré",1,,,,,,,
Sculpture,"bronze, socle de bronze doré",1,,,,,,,
Sculpture,"bronze, socle de cuivre doré d'or",1,,,,,,,
Sculpture,"bronze, socle de cuivre doré d'or, socle de marbre noir",1,,,,,,,
Sculpture,"bronze, socle de jaune de Sienne",1,,,,,,,
Sculpture,"bronze, socle de marbre & cercle en cuivre",1,,,,,,,
Sculpture,"bronze, socle de marbre blanc",1,,,,,,,
Sculpture,"bronze, socle de marbre de Flandres",1,,,,,,,
Sculpture,"bronze, socle de marbre vert de mer",1,,,,,,,
Sculpture,"bronze, socle de marqueterie",1,,,,,,,
Sculpture,"bronze, socle de porphyre vert, bronze doré",1,,,,,,,
Sculpture,"bronze, socle de seracolin",1,,,,,,,
Sculpture,"bronze, socle doré d'or",1,,,,,,,
Sculpture,"bronze, socle en cuivre doré",1,,,,,,,
Sculpture,"bronze, socle en marbre blanc veiné",1,,,,,,,
Sculpture,"bronze, socle en marqueterie",1,,,,,,,
Sculpture,"bronze, socle en marqueterie et bronze doré",1,,,,,,,
Sculpture,"bronze, sur des socles de marbre blanc",1,,,,,,,
Sculpture,"bronze, sur petits fut de colonnes de marbre bleu turquin à socle de cuivre doré",1,,,,,,,
Sculpture,"bronze, sur pied de marqueterie à mosaiques",1,,,,,,,
Sculpture,"bronze, sur piedouce en albâtre, posé sur socle carré en porphyre rouge",1,,,,,,,
Sculpture,"bronze, sur pieds de bronze doré",1,,,,,,,
Sculpture,"bronze, sur socle de bois peint & doré",1,,,,,,,
Sculpture,"bronze, sur socle de marbre bleu turquin à gorge",1,,,,,,,
Sculpture,"bronze, sur un marbre africain, feuilles doré d'or",1,,,,,,,
Sculpture,"bronze, sur un socle de bois noir",1,,,,,,,
Sculpture,"bronze, sur un socle de marbre bleu turquin",1,,,,,,,
Sculpture,"bronze, sur un socle de marqueterie",1,,,,,,,
Sculpture,"bronze, sur un socle de marqueterie garni de bronze",1,,,,,,,
Sculpture,"bronze, terrasse de cuivre doré",1,,,,,,,
Sculpture,"bronze, terre",1,,,,,,,
Sculpture,"bronze, terre émaillée",1,,,,,,,
Sculpture,"bronze, terre vernissée",1,,,,,,,
Sculpture,"bronze, velours cramoisi et bois doré",1,,,,,,,
Sculpture,"bronze,bois d'ébène garni de bronze doré d'or moulu",1,,,,,,,
Sculpture,bronzée,1,,,,,,,
Sculpture,"buste en bronze, socle en bois noirci",1,,,,,,,
Sculpture,buste en marbre blanc & pied en granit gris,1,,,,,,,
Sculpture,bustes placés sur des futs de colonnes de marbre bleu turquin ornés de bronze doré,1,,,,,,,
Sculpture,camée d'amétiste,1,,,,,,,
Sculpture,"carton doré, posée sur socle peint en porphire",1,,,,,,,
Sculpture,cire & ardoise,1,,,,,,,
Sculpture,cire & bois,1,,,,,,,
Sculpture,cire & terre cuite,1,,,,,,,
Sculpture,cire blanche,1,,,,,,,
Sculpture,cire bronzée ; pied de bois noirci,1,,,,,,,
Sculpture,cire dans un estuy de cuir,1,,,,,,,
Sculpture,cire de Braveur,1,,,,,,,
Sculpture,cire de deux couleurs,1,,,,,,,
Sculpture,cire sur ardoise,1,,,,,,,
Sculpture,cire sur un fond de bois,1,,,,,,,
Sculpture,cire sur verre noir,1,,,,,,,
Sculpture,"cire, colorié",1,,,,,,,
Sculpture,coco et pied en ivoire,1,,,,,,,
Sculpture,coquillage et ivoire,1,,,,,,,
Sculpture,coquilles,1,,,,,,,
Sculpture,corail,1,,,,,,,
Sculpture,coral and silver,1,,,,,,,
Sculpture,cornaline,1,,,,,,,
Sculpture,corne de rhinocéros,1,,,,,,,
Sculpture,"corps en albâtre, piédouche en marbre de Flandre",1,,,,,,,
Sculpture,crystal,1,,,,,,,
Sculpture,"crystal de roche, bronze doré",1,,,,,,,
Sculpture,cuivre & bronze,1,,,,,,,
Sculpture,cuivre doré d'or moulu,1,,,,,,,
Sculpture,"cuivre doré d'or, socle de porcelaine",1,,,,,,,
Sculpture,cuivre émailé,1,,,,,,,
Sculpture,cuivre et bronze,1,,,,,,,
Sculpture,cuivre jaulne,1,,,,,,,
Sculpture,"cuivre, étain",1,,,,,,,
Sculpture,"de bazalte, ou de pierre fondüe; Bronze",1,,,,,,,
Sculpture,des pieds de cuivre,1,,,,,,,
Sculpture,dix neuf pouces,1,,,,,,,
Sculpture,doré,1,,,,,,,
Sculpture,douze pouces & demi de haut,1,,,,,,,
Sculpture,ébene & bronze doré,1,,,,,,,
Sculpture,écaille,1,,,,,,,
Sculpture,Egyptian porphyry,1,,,,,,,
Sculpture,"eméraude, jaspe, bronze doré",1,,,,,,,
Sculpture,en albâtre,1,,,,,,,
Sculpture,en argent,1,,,,,,,
Sculpture,en bois bronzé,1,,,,,,,
Sculpture,en bois peint en porphyre,1,,,,,,,
Sculpture,en bronze & marbre blanc,1,,,,,,,
Sculpture,en bronze & socle en bois d'ébène,1,,,,,,,
Sculpture,en bronze doré,1,,,,,,,
Sculpture,en bronze sur socle de bois noirci orné de bronze de couleur,1,,,,,,,
Sculpture,en bronze sur socle de marbre,1,,,,,,,
Sculpture,en carton,1,,,,,,,
Sculpture,"en cire blanche, sur ardoise",1,,,,,,,
Sculpture,en cire rouge,1,,,,,,,
Sculpture,en cire sur fond d'ardoise,1,,,,,,,
Sculpture,en cristal,1,,,,,,,
Sculpture,en cuivre,1,,,,,,,
Sculpture,en cuivre et cire,1,,,,,,,
Sculpture,en ivoire & pierre de lac,1,,,,,,,
Sculpture,en marbre blanc grec,1,,,,,,,
Sculpture,en marbre blanc montés sur des petites colonnes de bois noir,1,,,,,,,
Sculpture,"en marbre blanc, sur fond de marbre noir",1,,,,,,,
Sculpture,en marbre d'Italie,1,,,,,,,
Sculpture,en marbre de Paros,1,,,,,,,
Sculpture,en marbre statuaire,1,,,,,,,
Sculpture,"en marbre, granit gris tacté de violet",1,,,,,,,
Sculpture,en pierre & en bois,1,,,,,,,
Sculpture,en pierre & en terre,1,,,,,,,
Sculpture,en plâtre doré,1,,,,,,,
Sculpture,en soie,1,,,,,,,
Sculpture,en talc,1,,,,,,,
Sculpture,en terre,1,,,,,,,
Sculpture,en terre cuite [?],1,,,,,,,
Sculpture,"en terre cuite bronzée, sur pieds de bois doré & noirci",1,,,,,,,
Sculpture,"en terre cuite, socle d'albâtre",1,,,,,,,
Sculpture,"en terre cuite, sur socle de marbre",1,,,,,,,
Sculpture,en terre des Index,1,,,,,,,
Sculpture,étain,1,,,,,,,
Sculpture,eurillet [?],1,,,,,,,
Sculpture,faux basalte & albâtre,1,,,,,,,
Sculpture,"figure en bronze, socle de bois noirci",1,,,,,,,
Sculpture,figures en bronze & piedestaux de bois noicis,1,,,,,,,
Sculpture,figures en marbre & socles en marbre blanc,1,,,,,,,
Sculpture,figures en plâtres sous cage de verre & socles de bois peint & doré,1,,,,,,,
Sculpture,figures en terre cuite & socle sur bois doré,1,,,,,,,
Sculpture,fondu en étain fin,1,,,,,,,
Sculpture,fonte de fer,1,,,,,,,
Sculpture,garni de cuivre doré,1,,,,,,,
Sculpture,gouache,1,,,,,,,
Sculpture,granit gris,1,,,,,,,
Sculpture,granit noir tacté de blanc,1,,,,,,,
Sculpture,granit rose,1,,,,,,,
Sculpture,Griotte d'Italie,1,,,,,,,
Sculpture,"groupe en yvoire, socle en cuivre",1,,,,,,,
Sculpture,gyps,1,,,,,,,
Sculpture,gypse,1,,,,,,,
Sculpture,huit pouces & demi de haut sur un pied de bronze doré,1,,,,,,,
Sculpture,huit pouces de haut sur un pied de bois noirci,1,,,,,,,
Sculpture,"in agate, in bronze",1,,,,,,,
Sculpture,in agate; in marble,1,,,,,,,
Sculpture,"in alabaster, in bronze",1,,,,,,,
Sculpture,in alabaster; in ebony; in ivory,1,,,,,,,
Sculpture,"in amber, in ivory",1,,,,,,,
Sculpture,in antique alabaster,1,,,,,,,
Sculpture,in artificial stone,1,,,,,,,
Sculpture,in black marble and white spar,1,,,,,,,
Sculpture,in black stone; in bronze,1,,,,,,,
Sculpture,in Brass,1,,,,,,,
Sculpture,In brass,1,,,,,,,
Sculpture,in brass; in lead; in iron,1,,,,,,,
Sculpture,in brass; in stone,1,,,,,,,
Sculpture,in bronze and lead,1,,,,,,,
Sculpture,in bronze and oriental alabaster,1,,,,,,,
Sculpture,"in bronze, gilt",1,,,,,,,
Sculpture,in bronze; in marble; in terra cotta,1,,,,,,,
Sculpture,in bronze; in silver,1,,,,,,,
Sculpture,in bronze; in terracotta,1,,,,,,,
Sculpture,in bronze; in wax,1,,,,,,,
Sculpture,in bronze; on marble,1,,,,,,,
Sculpture,in bronzed silver,1,,,,,,,
Sculpture,in chalk,1,,,,,,,
Sculpture,in chasing on copper,1,,,,,,,
Sculpture,in china; in bronze; in plaster,1,,,,,,,
Sculpture,in copper; in brass,1,,,,,,,
Sculpture,in coral,1,,,,,,,
Sculpture,in cork,1,,,,,,,
Sculpture,in cornelian,1,,,,,,,
Sculpture,in gray porphyry,1,,,,,,,
Sculpture,in grecian marble,1,,,,,,,
Sculpture,in green basalt,1,,,,,,,
Sculpture,in iron,1,,,,,,,
Sculpture,in ivory and bronze,1,,,,,,,
Sculpture,in ivory; in amber,1,,,,,,,
Sculpture,in ivory; in marble,1,,,,,,,
Sculpture,in ivory; in silver,1,,,,,,,
Sculpture,in ivory; in wax,1,,,,,,,
Sculpture,in Jasper,1,,,,,,,
Sculpture,"in jasper, on marble",1,,,,,,,
Sculpture,in lapis lazuli,1,,,,,,,
Sculpture,in lead bronze,1,,,,,,,
Sculpture,in lead gilt,1,,,,,,,
Sculpture,in lead; in alabaster,1,,,,,,,
Sculpture,in lead; in bronze,1,,,,,,,
Sculpture,in lead; in clay; in ivory; in brass; in marble,1,,,,,,,
Sculpture,in lead; in wood,1,,,,,,,
Sculpture,in marble and porphyry,1,,,,,,,
Sculpture,"in marble, in brass",1,,,,,,,
Sculpture,"in marble, painted",1,,,,,,,
Sculpture,in marble; in bronze,1,,,,,,,
Sculpture,in marble; in porphyry,1,,,,,,,
Sculpture,in marble; in terracotta,1,,,,,,,
Sculpture,in mixed marble,1,,,,,,,
Sculpture,in onyx; in silver,1,,,,,,,
Sculpture,in ormoulu,1,,,,,,,
Sculpture,in painted plaster,1,,,,,,,
Sculpture,in plaster bronzed,1,,,,,,,
Sculpture,"in plaster, in wax",1,,,,,,,
Sculpture,in plaster; in marble,1,,,,,,,
Sculpture,"in porphyry, in jasper",1,,,,,,,
Sculpture,in Portland stone,1,,,,,,,
Sculpture,in scagliola; in marble,1,,,,,,,
Sculpture,in silver; in bronze,1,,,,,,,
Sculpture,in steel,1,,,,,,,
Sculpture,in stone and terracotta,1,,,,,,,
Sculpture,in terracotta; in bronze,1,,,,,,,
Sculpture,in terracotta; in plaster,1,,,,,,,
Sculpture,in watercolour,1,,,,,,,
Sculpture,in wax; in ivory; in wood,1,,,,,,,
Sculpture,"in wood, in clay, in wax",1,,,,,,,
Sculpture,in wood; in bronze,1,,,,,,,
Sculpture,ivoir,1,,,,,,,
Sculpture,ivoir et bois,1,,,,,,,
Sculpture,ivoire & ebene,1,,,,,,,
Sculpture,ivoire & nacre de Perles,1,,,,,,,
Sculpture,ivoire & poirier,1,,,,,,,
Sculpture,ivoire de Diepe,1,,,,,,,
Sculpture,ivoire enfermée dans une boite de sapin,1,,,,,,,
Sculpture,ivoire et bois,1,,,,,,,
Sculpture,ivoire et garni de bronze doré,1,,,,,,,
Sculpture,ivoire et palissandre,1,,,,,,,
Sculpture,ivoire et pied d'estail d'esbeine,1,,,,,,,
Sculpture,ivoire et pied d'estail de bois noircy,1,,,,,,,
Sculpture,ivoire et velours noir,1,,,,,,,
Sculpture,ivoire montée sur une croix de bois noirci,1,,,,,,,
Sculpture,ivoire rougi,1,,,,,,,
Sculpture,ivoire sur croix de bois d'ébéne,1,,,,,,,
Sculpture,ivoire sur pied de marbre vert d'Egypte,1,,,,,,,
Sculpture,ivoire sur un pied de bois,1,,,,,,,
Sculpture,ivoire sur une croix d'ébenne,1,,,,,,,
Sculpture,ivoire teint en rouge,1,,,,,,,
Sculpture,ivoire verdi sur un fond de bois doré,1,,,,,,,
Sculpture,"ivoire, base en bronze",1,,,,,,,
Sculpture,"ivoire, bois sculpté et doré",1,,,,,,,
Sculpture,"ivoire, bois, socle de bois noirci",1,,,,,,,
Sculpture,"ivoire, bronze",1,,,,,,,
Sculpture,"ivoire, cadre de bois doré",1,,,,,,,
Sculpture,"ivoire, cadre doré",1,,,,,,,
Sculpture,"ivoire, ébène & bronze doré",1,,,,,,,
Sculpture,"ivoire, fonds d'agate fleurie d'Allemagne",1,,,,,,,
Sculpture,"ivoire, piédestal en bois noirci",1,,,,,,,
Sculpture,"ivoire, pierre fines",1,,,,,,,
Sculpture,"ivoire, socle en bois d'ébène",1,,,,,,,
Sculpture,ivoire; Bronze,1,,,,,,,
Sculpture,ivory and onyx,1,,,,,,,
Sculpture,jaspe sanguin,1,,,,,,,
Sculpture,jaspe verd,1,,,,,,,
Sculpture,"jaspe, pied de bois",1,,,,,,,
Sculpture,"jaspe, prime d'amétiste & grenat",1,,,,,,,
Sculpture,jonc,1,,,,,,,
Sculpture,lapis et turquoise,1,,,,,,,
Sculpture,liége,1,,,,,,,
Sculpture,mabre et bronze,1,,,,,,,
Sculpture,mabre jaune,1,,,,,,,
Sculpture,marble [?],1,,,,,,,
Sculpture,marbre [ou] bronze avec pareil socle de cuivre doré à moulures unie,1,,,,,,,
Sculpture,marbre [ou] bronze socle de cuivre doré à moulures unies,1,,,,,,,
Sculpture,marbre [ou] bronze sur des parties de gaînes de marbre blanc,1,,,,,,,
Sculpture,marbre [ou] bronze sur pied de cuivre doré,1,,,,,,,
Sculpture,marbre [ou] bronze sur piedouche en marbre bleu,1,,,,,,,
Sculpture,"marbre [ou] bronze, albâtre, sur gaine en marbre blanc",1,,,,,,,
Sculpture,marbre [ou] cuivre sur un pied en cuivre doré,1,,,,,,,
Sculpture,marbre & bois doré,1,,,,,,,
Sculpture,marbre & bronze doré,1,,,,,,,
Sculpture,marbre & marbre de brocatelle,1,,,,,,,
Sculpture,marbre & marbre noir,1,,,,,,,
Sculpture,marbre & marbre verd de campau,1,,,,,,,
Sculpture,marbre avec draperies en bronze,1,,,,,,,
Sculpture,marbre banc,1,,,,,,,
Sculpture,marbre bigio morato,1,,,,,,,
Sculpture,marbre blanc & albâtre fleuri,1,,,,,,,
Sculpture,marbre blanc & bleu grec,1,,,,,,,
Sculpture,marbre blanc & blomb,1,,,,,,,
Sculpture,marbre blanc & couleur,1,,,,,,,
Sculpture,marbre blanc de bout,1,,,,,,,
Sculpture,marbre blanc de Carara,1,,,,,,,
Sculpture,marbre blanc de Paros,1,,,,,,,
Sculpture,marbre blanc et albâtre,1,,,,,,,
Sculpture,marbre blanc et bois doré,1,,,,,,,
Sculpture,marbre blanc et bronze,1,,,,,,,
Sculpture,marbre blanc et bronze d'or moulu,1,,,,,,,
Sculpture,marbre blanc et le pied de bois,1,,,,,,,
Sculpture,marbre blanc et marbre de Rance,1,,,,,,,
Sculpture,marbre blanc et marbre noir,1,,,,,,,
Sculpture,marbre blanc et plinthe en marbre noir,1,,,,,,,
Sculpture,marbre blanc et socle de bois doré,1,,,,,,,
Sculpture,marbre blanc posé sur base carré en marbre jaune antique,1,,,,,,,
Sculpture,marbre blanc sur fond d'ardoise,1,,,,,,,
Sculpture,marbre blanc sur fond de marbre noir,1,,,,,,,
Sculpture,marbre blanc sur futs en pierre,1,,,,,,,
Sculpture,marbre blanc sur gaîne de marbre breche,1,,,,,,,
Sculpture,marbre blanc sur pied carré en marbre de Flandre,1,,,,,,,
Sculpture,marbre blanc sur piedestal en pierre,1,,,,,,,
Sculpture,marbre blanc sur piedestal garni en bronze,1,,,,,,,
Sculpture,marbre blanc sur piedestaux en pierre,1,,,,,,,
Sculpture,marbre blanc sur piédouche de blanc veiné,1,,,,,,,
Sculpture,marbre blanc sur piédouche en marbre bleu turquin,1,,,,,,,
Sculpture,marbre blanc sur piedouche en marbre de Flandres & socle carré en marbre porte-or,1,,,,,,,
Sculpture,marbre blanc sur socle en bois doré & double socle carré en marbre blanc,1,,,,,,,
Sculpture,marbre blanc sur socle en marbre bleu-turquin,1,,,,,,,
Sculpture,marbre blanc sur un pied de marbre carré et draperies en bronze doré d'or moulu,1,,,,,,,
Sculpture,marbre blanc sur un pied douche en marbre bleu turquin,1,,,,,,,
Sculpture,marbre blanc sur un socle & pied de bleu turquin,1,,,,,,,
Sculpture,marbre blanc sur un socle à bandeau breté en bronze doré,1,,,,,,,
Sculpture,"marbre blanc, albâtre & marbre noir",1,,,,,,,
Sculpture,"marbre blanc, avec pied douche.",1,,,,,,,
Sculpture,"marbre blanc, cadre en bois",1,,,,,,,
Sculpture,"marbre blanc, dans une bordure de bois doré.",1,,,,,,,
Sculpture,"marbre blanc, et bronze doré d'or moulu",1,,,,,,,
Sculpture,"marbre blanc, marbre noir et pied d'estal doré",1,,,,,,,
Sculpture,"marbre blanc, pied de bois",1,,,,,,,
Sculpture,"marbre blanc, pied de Marqueterie.",1,,,,,,,
Sculpture,"marbre blanc, sur bronze",1,,,,,,,
Sculpture,"marbre blanc, sur piedouche en marbre noir",1,,,,,,,
Sculpture,"marbre blanc, sur un plat de marbre noir vené de blanc.",1,,,,,,,
Sculpture,"marbre blanc, sur un plateau de bois",1,,,,,,,
Sculpture,marbre bleu turquin,1,,,,,,,
Sculpture,"marbre bleu turquin, bronze",1,,,,,,,
Sculpture,"marbre bleu turquin, bronze doré",1,,,,,,,
Sculpture,marbre de Flandre non plaqué,1,,,,,,,
Sculpture,marbre de Membries,1,,,,,,,
Sculpture,"marbre de Paros, gaines de bois peintes en porphyre",1,,,,,,,
Sculpture,marbre de plusieurs couleurs,1,,,,,,,
Sculpture,marbre de salin,1,,,,,,,
Sculpture,marbre en bronze,1,,,,,,,
Sculpture,marbre et albâtre oriental,1,,,,,,,
Sculpture,marbre et bois,1,,,,,,,
Sculpture,marbre et bordures en bronze doré,1,,,,,,,
Sculpture,marbre et bronze,1,,,,,,,
Sculpture,marbre et bronze doré d'or moulu,1,,,,,,,
Sculpture,marbre et caillou,1,,,,,,,
Sculpture,marbre et marbre,1,,,,,,,
Sculpture,marbre et marbre de couleur,1,,,,,,,
Sculpture,marbre et porphire sur une cuirasse de marbre noir garnie de bronze,1,,,,,,,
Sculpture,marbre et socle & gaîne de pierre,1,,,,,,,
Sculpture,marbre et sur socle noirci avec cage,1,,,,,,,
Sculpture,marbre et sur un pied de bronze doré,1,,,,,,,
Sculpture,marbre et sur un pied de marbre,1,,,,,,,
Sculpture,marbre et sur un pied garni de bronze,1,,,,,,,
Sculpture,marbre et sur un piedouche de plâtre,1,,,,,,,
Sculpture,marbre et sur un socle de pierre,1,,,,,,,
Sculpture,marbre et terre,1,,,,,,,
Sculpture,marbre et un socle cannelé en bronze,1,,,,,,,
Sculpture,marbre griotte d'Italie,1,,,,,,,
Sculpture,marbre gris veiné de blanc,1,,,,,,,
Sculpture,marbre jaune,1,,,,,,,
Sculpture,marbre noir & blanc antique,1,,,,,,,
Sculpture,marbre noir & bronze doré,1,,,,,,,
Sculpture,marbre noir & marbre blanc,1,,,,,,,
Sculpture,marbre noir Egyptien,1,,,,,,,
Sculpture,marbre noir et albâtre oriental,1,,,,,,,
Sculpture,"marbre noir, basalte, socles de verd de mer",1,,,,,,,
Sculpture,"marbre noir, marbre blanc",1,,,,,,,
Sculpture,"marbre noir, marbre blanc & bronze",1,,,,,,,
Sculpture,marbre ou albâtre,1,,,,,,,
Sculpture,marbre ou bronze,1,,,,,,,
Sculpture,marbre ou plâtre,1,,,,,,,
Sculpture,marbre plaqué sur ardoise,1,,,,,,,
Sculpture,marbre porte-or,1,,,,,,,
Sculpture,marbre portor,1,,,,,,,
Sculpture,marbre potor,1,,,,,,,
Sculpture,"marbre ransse, marbre blanc, marbre ransse & bronze",1,,,,,,,
Sculpture,marbre rouge antique,1,,,,,,,
Sculpture,marbre serpentin,1,,,,,,,
Sculpture,marbre statuaire et un piédestaux de marbre noir,1,,,,,,,
Sculpture,marbre statuaire sur pied-douche en marbre noir,1,,,,,,,
Sculpture,"marbre statuaire sur socle plaqué en ébene, orné d'une fris & filet en cuivre doré d'or moulu",1,,,,,,,
Sculpture,marbre sur ardoise,1,,,,,,,
Sculpture,marbre sur des pieds de bois,1,,,,,,,
Sculpture,marbre sur double socle d'albâtre,1,,,,,,,
Sculpture,marbre sur fût en marbre jaspé,1,,,,,,,
Sculpture,marbre sur pied d'estail de marbre,1,,,,,,,
Sculpture,marbre sur pied d'ouche,1,,,,,,,
Sculpture,marbre sur pied de bois doré,1,,,,,,,
Sculpture,marbre sur pied de bois noirci avec des moulure doré,1,,,,,,,
Sculpture,marbre sur pied de bois sculpté,1,,,,,,,
Sculpture,"marbre sur pied noirci, garni de bronze doré",1,,,,,,,
Sculpture,marbre sur piedestal de marbre blanc,1,,,,,,,
Sculpture,marbre sur piedestal en marbre,1,,,,,,,
Sculpture,marbre sur piédouche de granit gris,1,,,,,,,
Sculpture,marbre sur piedouche de marbre bleu turquin,1,,,,,,,
Sculpture,marbre sur piedouche de marbre de Flandre,1,,,,,,,
Sculpture,marbre sur piédouche de marbre de Flandre,1,,,,,,,
Sculpture,marbre sur piédouche en marbre blanc,1,,,,,,,
Sculpture,marbre sur piédouche en marbre bleu-turquain,1,,,,,,,
Sculpture,marbre sur piédouche en marbre bleu-turquin,1,,,,,,,
Sculpture,marbre sur plaque de marbre,1,,,,,,,
Sculpture,marbre sur socle de bois doré,1,,,,,,,
Sculpture,"marbre sur socle de bois sculpté, doré de forme ovale",1,,,,,,,
Sculpture,marbre sur socle en bois d'ébene à filets de cuivre lissés et  bronze,1,,,,,,,
Sculpture,marbre sur socle en bois noirci,1,,,,,,,
Sculpture,marbre sur socle en bois noirci à filets de cuivre,1,,,,,,,
Sculpture,marbre sur socle en marbre blanc,1,,,,,,,
Sculpture,marbre sur table de porphyre et piedestal de marbre blanc veiné,1,,,,,,,
Sculpture,marbre sur un socle en cuivre doré d'or moulu,1,,,,,,,
Sculpture,marbre sur un socle quarré en vert de mer,1,,,,,,,
Sculpture,marbre usr un socle de marbre de Carare,1,,,,,,,
Sculpture,marbre vert,1,,,,,,,
Sculpture,"Marbre vert antique, Pierre de Lar.",1,,,,,,,
Sculpture,marbre vert de mer,1,,,,,,,
Sculpture,"marbre, bordure dorée",1,,,,,,,
Sculpture,"marbre, bronze",1,,,,,,,
Sculpture,"marbre, marbre de Sicile, et bordures de marbre noir",1,,,,,,,
Sculpture,"marbre, socle de vert de mert",1,,,,,,,
Sculpture,"marbre, socle en bronze doré",1,,,,,,,
Sculpture,marbre?,1,,,,,,,
Sculpture,marbres blancs,1,,,,,,,
Sculpture,marqueterie,1,,,,,,,
Sculpture,martbre blanc,1,,,,,,,
Sculpture,métail,1,,,,,,,
Sculpture,métal,1,,,,,,,
Sculpture,nacre de perle,1,,,,,,,
Sculpture,nacre de perle & autres pierres précieuses,1,,,,,,,
Sculpture,nacre de Perle & pierreries,1,,,,,,,
Sculpture,nacre de perle & pierreries précieuses,1,,,,,,,
Sculpture,on brass; on copper,1,,,,,,,
Sculpture,on jasper,1,,,,,,,
Sculpture,on metal,1,,,,,,,
Sculpture,on stone,1,,,,,,,
Sculpture,on tortoiseshell,1,,,,,,,
Sculpture,or [?],1,,,,,,,
Sculpture,or émaillé,1,,,,,,,
Sculpture,"or, argent, porcelaine, bronze doré",1,,,,,,,
Sculpture,ormoulu,1,,,,,,,
Sculpture,pâte,1,,,,,,,
Sculpture,pâte de pierre de laar & porcelaine,1,,,,,,,
Sculpture,pâte de riz,1,,,,,,,
Sculpture,pâte de savon,1,,,,,,,
Sculpture,perles & pierreries fines,1,,,,,,,
Sculpture,perles & pierres fines,1,,,,,,,
Sculpture,pied de bronze doré,1,,,,,,,
Sculpture,piédouche en marbre de Flandres,1,,,,,,,
Sculpture,pieds d'albâtre,1,,,,,,,
Sculpture,pieds en cuivre doré d'or moulu,1,,,,,,,
Sculpture,pierre antique,1,,,,,,,
Sculpture,pierre basaltique,1,,,,,,,
Sculpture,pierre calcaire,1,,,,,,,
Sculpture,pierre calcaire onix,1,,,,,,,
Sculpture,pierre d'Avignon,1,,,,,,,
Sculpture,pierre de basalte,1,,,,,,,
Sculpture,pierre de Cosntans,1,,,,,,,
Sculpture,pierre de jade,1,,,,,,,
Sculpture,pierre de l'ar,1,,,,,,,
Sculpture,pierre de l'art,1,,,,,,,
Sculpture,"Pierre de Laar, émail, rubis",1,,,,,,,
Sculpture,pierre de lade,1,,,,,,,
Sculpture,pierre de lapis,1,,,,,,,
Sculpture,pierre de Lard,1,,,,,,,
Sculpture,pierre de Lare,1,,,,,,,
Sculpture,pierre de lars des Indes,1,,,,,,,
Sculpture,pierre de liais,1,,,,,,,
Sculpture,pierre de liere,1,,,,,,,
Sculpture,pierre de lierre,1,,,,,,,
Sculpture,pierre de Tonnerre,1,,,,,,,
Sculpture,pierre de touche & marbre,1,,,,,,,
Sculpture,pierre de touche & terre cuite,1,,,,,,,
Sculpture,pierre de touche ou basalte,1,,,,,,,
Sculpture,pierre de touche ou de Paragon et bronze,1,,,,,,,
Sculpture,"pierre de touche, agathe, albâtre, marbre blanc",1,,,,,,,
Sculpture,"pierre de touche, agathe, albâtre, marbre et bronze",1,,,,,,,
Sculpture,pierre derrière,1,,,,,,,
Sculpture,pierre des Amazones,1,,,,,,,
Sculpture,pierre fine,1,,,,,,,
Sculpture,pierre noire,1,,,,,,,
Sculpture,pierre ollaire,1,,,,,,,
Sculpture,pierre rougeâtre,1,,,,,,,
Sculpture,pierre tendre & albâtre,1,,,,,,,
Sculpture,pierre tendre grisâtre,1,,,,,,,
Sculpture,pierre tendre verdâtre,1,,,,,,,
Sculpture,pierre-de-touche,1,,,,,,,
Sculpture,"pierres de rapport, lapis",1,,,,,,,
Sculpture,"pierres de rapport, lapis & marbre",1,,,,,,,
Sculpture,pietra dura,1,,,,,,,
Sculpture,plätre,1,,,,,,,
Sculpture,plâtre ; pied en bois noirci,1,,,,,,,
Sculpture,plâtre & bois noirci,1,,,,,,,
Sculpture,plâtre & bronzés,1,,,,,,,
Sculpture,plâtre & plomb,1,,,,,,,
Sculpture,plâtre bonzé,1,,,,,,,
Sculpture,plâtre bronzé & terre cuite,1,,,,,,,
Sculpture,plâtre coloré,1,,,,,,,
Sculpture,plâtre coloré façon terre cuite,1,,,,,,,
Sculpture,plâtre et bois,1,,,,,,,
Sculpture,plâtre et bronzé,1,,,,,,,
Sculpture,plâtre mis en couleur de terre cuite,1,,,,,,,
Sculpture,platre ou talc et sur un pied de bois,1,,,,,,,
Sculpture,plâtre poli,1,,,,,,,
Sculpture,plâtre sous cage d everre,1,,,,,,,
Sculpture,plâtre sur pied-douche de marbre violet,1,,,,,,,
Sculpture,plâtre sur son piédestal en bois,1,,,,,,,
Sculpture,plâtre sur terre cuite,1,,,,,,,
Sculpture,plâtre sur une croix de bois,1,,,,,,,
Sculpture,"plâtre, bois noirci & moulures dorées",1,,,,,,,
Sculpture,"plâtre, consoles de terre cuite",1,,,,,,,
